clip_path,portrait_path,render_done_at,render_preset,upscaled_path,upscale_done_at,branded_path,follow_brand_done_at,last_error,last_run_at
/home/user/soccer-video/nonexistent.mp4,,,,,2026-02-13T17:32:59+00:00,,,,2026-02-13T17:32:59+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-04-12__TSC_vs_Route_66\001__2025-04-12__TSC_vs_Route_66__DRIBBLING__t0.00-t18.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\001__2025-04-12__TSC_vs_Route_66__DRIBBLING__t0.00-t18.00__CINEMATIC_portrait_FINAL.mp4,2026-02-13T23:57:05+00:00,cinematic,C:\Users\scott\soccer-video\out\upscaled\001__2025-04-12__TSC_vs_Route_66__DRIBBLING__t0.00-t18.00__x2__lanczos.mp4,2026-02-12T12:49:42+00:00,,,source not found,2026-02-16T03:40:30+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-04-12__TSC_vs_Route_66\002__2025-04-12__TSC_vs_Route_66__SHOT__t19.00-t28.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\002__2025-04-12__TSC_vs_Route_66__SHOT__t19.00-t28.00__CINEMATIC_portrait_FINAL.mp4,2026-02-13T23:57:57+00:00,cinematic,C:\Users\scott\soccer-video\out\upscaled\002__2025-04-12__TSC_vs_Route_66__SHOT__t19.00-t28.00__x2__lanczos.mp4,2026-02-12T12:52:49+00:00,,,source not found,2026-02-16T03:40:30+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-04-12__TSC_vs_Route_66\003__2025-04-12__TSC_vs_Route_66__GOAL__t48.50-t58.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\003__2025-04-12__TSC_vs_Route_66__GOAL__t48.50-t58.00__CINEMATIC_portrait_FINAL.mp4,2026-02-13T23:58:49+00:00,cinematic,C:\Users\scott\soccer-video\out\upscaled\003__2025-04-12__TSC_vs_Route_66__GOAL__t48.50-t58.00__x2__lanczos.mp4,2026-02-12T12:54:35+00:00,,,source not found,2026-02-16T03:40:30+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-04-12__TSC_vs_Route_66\004__2025-04-12__TSC_vs_Route_66__SHOT__t83.00-t96.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\004__2025-04-12__TSC_vs_Route_66__SHOT__t83.00-t96.00__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:00:00+00:00,cinematic,,,,,source not found,2026-02-16T03:40:30+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-04-12__TSC_vs_Route_66\005__2025-04-12__TSC_vs_Route_66__PENALTY__t110.00-t122.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\005__2025-04-12__TSC_vs_Route_66__PENALTY__t110.00-t122.00__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:01:07+00:00,cinematic,,,,,source not found,2026-02-16T03:40:30+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-04-12__TSC_vs_Route_66\006__2025-04-12__TSC_vs_Route_66__SHOT__t140.00-t144.50.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\006__2025-04-12__TSC_vs_Route_66__SHOT__t140.00-t144.50__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:01:34+00:00,cinematic,,,,,source not found,2026-02-16T03:40:30+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-04-12__TSC_vs_Route_66\007__2025-04-12__TSC_vs_Route_66__HIGHLIGHT__t268.00-t283.50.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\007__2025-04-12__TSC_vs_Route_66__HIGHLIGHT__t268.00-t283.50__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:02:59+00:00,cinematic,,,,,source not found,2026-02-16T03:40:30+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-04-12__TSC_vs_Route_66\008__2025-04-12__TSC_vs_Route_66__GOAL__t304.00-t331.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\008__2025-04-12__TSC_vs_Route_66__GOAL__t304.00-t331.00__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:05:23+00:00,cinematic,,,,,source not found,2026-02-16T03:40:30+00:00
C:\Users\scott\OneDrive\SoccerVideoMedia\out\atomic_clips\2025-04-12__TSC_vs_Route_66\009__2025-04-12__TSC_vs_Route_66__GOAL__t332.00-t340.00.mp4,C:\Users\scott\OneDrive\SoccerVideoMedia\out\portrait_reels\clean\009__2025-04-12__TSC_vs_Route_66__GOAL__t332.00-t340.00__CINEMATIC_portrait_FINAL.mp4,2026-02-14T00:06:09+00:00,cinematic,,,,,source not found,2026-02-16T03:40:30+00:00
