clip_id,clip_name,clip_path,clip_rel,clip_stem,created_at_utc,duration_s,width,height,fps,sha1_64,tags,t_start_s,t_end_s,master_path,master_rel
5f44dbe715f0b5eb:001__2025-04-12__TSC_vs_Route_66__DRIBBLING__t0.00-t18.00,001__2025-04-12__TSC_vs_Route_66__DRIBBLING__t0.00-t18.00.mp4,D:\Projects\soccer-video\out\atomic_clips\2025-04-12__TSC_vs_Route_66\001__2025-04-12__TSC_vs_Route_66__DRIBBLING__t0.00-t18.00.mp4,out/atomic_clips/2025-04-12__TSC_vs_Route_66/001__2025-04-12__TSC_vs_Route_66__DRIBBLING__t0.00-t18.00.mp4,001__2025-04-12__TSC_vs_Route_66__DRIBBLING__t0.00-t18.00,2026-02-11T03:37:27+00:00,18.033,1280,720,30/1,5f44dbe715f0b5eb,,0.000,18.000,D:/Projects/soccer-video/out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4,out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4
8c8d2101ce4a347b:001__2025-04-12__TSC_vs_Route_66__DRIBBLING__t0.00-t18.00__CINEMATIC,001__2025-04-12__TSC_vs_Route_66__DRIBBLING__t0.00-t18.00__CINEMATIC.mp4,D:\Projects\soccer-video\out\atomic_clips\2025-04-12__TSC_vs_Route_66\001__2025-04-12__TSC_vs_Route_66__DRIBBLING__t0.00-t18.00__CINEMATIC.mp4,out/atomic_clips/2025-04-12__TSC_vs_Route_66/001__2025-04-12__TSC_vs_Route_66__DRIBBLING__t0.00-t18.00__CINEMATIC.mp4,001__2025-04-12__TSC_vs_Route_66__DRIBBLING__t0.00-t18.00__CINEMATIC,2026-02-12T12:52:29+00:00,18.033,1080,1920,30/1,8c8d2101ce4a347b,,0.000,18.000,D:/Projects/soccer-video/out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4,out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4
11860e927b22cede:002__2025-04-12__TSC_vs_Route_66__SHOT__t19.00-t28.00,002__2025-04-12__TSC_vs_Route_66__SHOT__t19.00-t28.00.mp4,D:\Projects\soccer-video\out\atomic_clips\2025-04-12__TSC_vs_Route_66\002__2025-04-12__TSC_vs_Route_66__SHOT__t19.00-t28.00.mp4,out/atomic_clips/2025-04-12__TSC_vs_Route_66/002__2025-04-12__TSC_vs_Route_66__SHOT__t19.00-t28.00.mp4,002__2025-04-12__TSC_vs_Route_66__SHOT__t19.00-t28.00,2026-02-11T03:37:27+00:00,9.800,1280,720,30/1,11860e927b22cede,,19.000,28.000,D:/Projects/soccer-video/out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4,out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4
bf52aca14d6918c6:002__2025-04-12__TSC_vs_Route_66__SHOT__t19.00-t28.00__CINEMATIC,002__2025-04-12__TSC_vs_Route_66__SHOT__t19.00-t28.00__CINEMATIC.mp4,D:\Projects\soccer-video\out\atomic_clips\2025-04-12__TSC_vs_Route_66\002__2025-04-12__TSC_vs_Route_66__SHOT__t19.00-t28.00__CINEMATIC.mp4,out/atomic_clips/2025-04-12__TSC_vs_Route_66/002__2025-04-12__TSC_vs_Route_66__SHOT__t19.00-t28.00__CINEMATIC.mp4,002__2025-04-12__TSC_vs_Route_66__SHOT__t19.00-t28.00__CINEMATIC,2026-02-12T12:54:23+00:00,9.800,1080,1920,30/1,bf52aca14d6918c6,,19.000,28.000,D:/Projects/soccer-video/out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4,out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4
e474fbb3585d43fe:003__2025-04-12__TSC_vs_Route_66__GOAL__t48.50-t58.00,003__2025-04-12__TSC_vs_Route_66__GOAL__t48.50-t58.00.mp4,D:\Projects\soccer-video\out\atomic_clips\2025-04-12__TSC_vs_Route_66\003__2025-04-12__TSC_vs_Route_66__GOAL__t48.50-t58.00.mp4,out/atomic_clips/2025-04-12__TSC_vs_Route_66/003__2025-04-12__TSC_vs_Route_66__GOAL__t48.50-t58.00.mp4,003__2025-04-12__TSC_vs_Route_66__GOAL__t48.50-t58.00,2026-02-11T03:37:28+00:00,9.832,1280,720,30/1,e474fbb3585d43fe,,48.500,58.000,D:/Projects/soccer-video/out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4,out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4
877ca79f5e53f713:003__2025-04-12__TSC_vs_Route_66__GOAL__t48.50-t58.00__CINEMATIC,003__2025-04-12__TSC_vs_Route_66__GOAL__t48.50-t58.00__CINEMATIC.mp4,D:\Projects\soccer-video\out\atomic_clips\2025-04-12__TSC_vs_Route_66\003__2025-04-12__TSC_vs_Route_66__GOAL__t48.50-t58.00__CINEMATIC.mp4,out/atomic_clips/2025-04-12__TSC_vs_Route_66/003__2025-04-12__TSC_vs_Route_66__GOAL__t48.50-t58.00__CINEMATIC.mp4,003__2025-04-12__TSC_vs_Route_66__GOAL__t48.50-t58.00__CINEMATIC,2026-02-12T12:56:12+00:00,9.833,1080,1920,30/1,877ca79f5e53f713,,48.500,58.000,D:/Projects/soccer-video/out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4,out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4
1476c6cc9b71d77f:004__2025-04-12__TSC_vs_Route_66__SHOT__t83.00-t96.00,004__2025-04-12__TSC_vs_Route_66__SHOT__t83.00-t96.00.mp4,D:\Projects\soccer-video\out\atomic_clips\2025-04-12__TSC_vs_Route_66\004__2025-04-12__TSC_vs_Route_66__SHOT__t83.00-t96.00.mp4,out/atomic_clips/2025-04-12__TSC_vs_Route_66/004__2025-04-12__TSC_vs_Route_66__SHOT__t83.00-t96.00.mp4,004__2025-04-12__TSC_vs_Route_66__SHOT__t83.00-t96.00,2026-02-11T03:37:28+00:00,13.733,1280,720,30/1,1476c6cc9b71d77f,,83.000,96.000,D:/Projects/soccer-video/out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4,out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4
e4aacc8243d74da4:005__2025-04-12__TSC_vs_Route_66__PENALTY__t110.00-t122.00,005__2025-04-12__TSC_vs_Route_66__PENALTY__t110.00-t122.00.mp4,D:\Projects\soccer-video\out\atomic_clips\2025-04-12__TSC_vs_Route_66\005__2025-04-12__TSC_vs_Route_66__PENALTY__t110.00-t122.00.mp4,out/atomic_clips/2025-04-12__TSC_vs_Route_66/005__2025-04-12__TSC_vs_Route_66__PENALTY__t110.00-t122.00.mp4,005__2025-04-12__TSC_vs_Route_66__PENALTY__t110.00-t122.00,2026-02-11T03:37:28+00:00,12.467,1280,720,30/1,e4aacc8243d74da4,,110.000,122.000,D:/Projects/soccer-video/out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4,out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4
16e736da5192e0d8:006__2025-04-12__TSC_vs_Route_66__SHOT__t140.00-t144.50,006__2025-04-12__TSC_vs_Route_66__SHOT__t140.00-t144.50.mp4,D:\Projects\soccer-video\out\atomic_clips\2025-04-12__TSC_vs_Route_66\006__2025-04-12__TSC_vs_Route_66__SHOT__t140.00-t144.50.mp4,out/atomic_clips/2025-04-12__TSC_vs_Route_66/006__2025-04-12__TSC_vs_Route_66__SHOT__t140.00-t144.50.mp4,006__2025-04-12__TSC_vs_Route_66__SHOT__t140.00-t144.50,2026-02-11T03:37:28+00:00,5.333,1280,720,30/1,16e736da5192e0d8,,140.000,144.500,D:/Projects/soccer-video/out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4,out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4
d5885784303c7c15:007__2025-04-12__TSC_vs_Route_66__HIGHLIGHT__t268.00-t283.50,007__2025-04-12__TSC_vs_Route_66__HIGHLIGHT__t268.00-t283.50.mp4,D:\Projects\soccer-video\out\atomic_clips\2025-04-12__TSC_vs_Route_66\007__2025-04-12__TSC_vs_Route_66__HIGHLIGHT__t268.00-t283.50.mp4,out/atomic_clips/2025-04-12__TSC_vs_Route_66/007__2025-04-12__TSC_vs_Route_66__HIGHLIGHT__t268.00-t283.50.mp4,007__2025-04-12__TSC_vs_Route_66__HIGHLIGHT__t268.00-t283.50,2026-02-11T03:37:28+00:00,16.233,1280,720,30/1,d5885784303c7c15,,268.000,283.500,D:/Projects/soccer-video/out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4,out/games/2025-04-12__TSC_vs_Route_66/MASTER.mp4
